,Indice,id_anony,Anho,Cod.Car.Sec,Nota.Final,Aprobado,1P,2P,Taller,Firma,Derecho a Recuperatorio,Derecho a Final,Primer.Rec,Segundo.Rec,Primer Intento,Segundo Intento,Calificacion,Aprobo
3904,0.0,es_7719,2017,CIV-PLS13 ,,N,2,0,0,2,False,False,0,0,0.0,0.0,0.0,False
3905,1.0,es_1972,2017,CGF-PLS13 ,,N,4,0,0,4,False,False,0,0,0.0,0.0,0.0,False
3906,2.0,es_2129,2017,CIV-PLS13 ,3F-1,N,0,0,0,0,False,False,0,0,1.0,0.0,1.0,False
3907,3.0,es_2803,2017,CIV-PLS13 ,,N,0,0,0,0,False,False,0,0,0.0,0.0,0.0,False
3908,4.0,es_2441,2017,ELE-PLS13 ,2F-1,N,0,0,0,0,False,False,0,0,1.0,0.0,1.0,False
3909,5.0,es_2712,2017,ECA-PLS13 ,3F-4,S,5,28,0,33,False,False,34,42,4.0,0.0,4.0,True
3910,6.0,es_3559,2017,CIV-PLS13 ,,N,12,0,0,12,False,False,0,0,0.0,0.0,0.0,False
3911,7.0,es_3612,2017,ELE-PLS13 ,"2F-1,3F-4",S,3,0,0,3,False,False,0,0,1.0,4.0,4.0,True
3912,8.0,es_2773,2017,CGF-PLS13 ,,N,0,23,0,23,False,False,12,15,0.0,0.0,0.0,False
3913,9.0,es_7257,2017,CIV-PLS13 ,,N,8,0,0,8,False,False,0,0,0.0,0.0,0.0,False
3914,10.0,es_3648,2017,IND-PLS13 ,,N,0,0,0,0,False,False,0,17,0.0,0.0,0.0,False
3915,11.0,es_7107,2017,ELE-PLS13 ,1F-3,S,11,26,0,37,False,False,0,0,3.0,0.0,3.0,True
3916,12.0,es_7538,2017,ELE-PLS13 ,,N,0,0,0,0,False,False,0,0,0.0,0.0,0.0,False
3917,13.0,es_7539,2017,MCT-PLS13 ,,N,0,0,0,0,False,False,0,0,0.0,0.0,0.0,False
3918,14.0,es_7540,2017,ELE-PLS13 ,,N,6,10,0,16,False,False,0,0,0.0,0.0,0.0,False
3919,15.0,es_7203,2017,ELE-PLS13 ,"2F-1,3F-2",S,0,0,0,0,False,False,0,0,1.0,2.0,2.0,True
3920,16.0,es_2714,2017,ECA-PLS13 ,1F-2,S,10,23,0,33,False,False,0,0,2.0,0.0,2.0,True
3921,17.0,es_7258,2017,MCT-PLS13 ,1F-5,S,17,32,0,49,False,False,0,0,5.0,0.0,5.0,True
3922,18.0,es_7541,2017,ELE-PLS13 ,,N,4,8,0,12,False,False,0,0,0.0,0.0,0.0,False
