,Unnamed: 0,Cod.Car.Sec,Aprobado,Anho.Firma,Primer.Par,Segundo.Par,AOT,Primer.Rec,Segundo.Rec,Nota.Final
0,4455,CIV-PLS13 ,0,0,7,0,0,0,0,
1,4456,MCT-PLS13 ,1,2017,18,15,0,0,0,1F-2
2,4457,CIV-PLS13 ,0,0,13,0,0,0,0,
3,4458,CIV-PLS13 ,0,0,0,0,0,0,0,
4,4459,IND-PLS13 ,0,0,4,8,0,0,0,
5,4460,MCT-PLS13 ,0,2017,17,19,0,0,12,"1F-1,3F-1"
6,4461,ELE-PLS13 ,0,0,10,5,0,8,20,
7,4462,MCT-PLS13 ,0,0,11,7,0,0,18,
8,4463,ELE-PLS13 ,0,0,7,8,0,0,0,
9,4464,ELE-PLS13 ,0,0,3,9,0,0,0,
10,4465,MCT-PLS13 ,0,2017,11,20,0,20,0,
11,4466,ELE-PLS13 ,0,2017,8,21,0,0,0,"1F-1,2F-1,3F-1"
12,4467,CIV-PLS13 ,0,0,9,15,0,11,9,
13,4468,MCT-PLS13 ,0,0,9,6,0,4,0,
14,4469,MCT-PLS13 ,0,2016,16,9,0,17,12,
15,4470,ELE-PLS13 ,0,0,9,13,0,0,10,
16,4471,CIV-PLS13 ,0,0,3,20,0,12,24,
17,4472,ELE-PLS13 ,0,2016,4,22,0,0,19,1F-1
18,4473,ELE-PLS13 ,1,2017,23,25,0,0,0,1F-5
19,4474,ELE-PLS13 ,1,0,7,19,0,0,0,"1F-1,2F-2"
20,4475,ELE-PLS13 ,1,2017,11,27,0,0,0,"1F-1,2F-1,3F-2"
21,4476,ELE-PLS13 ,0,2017,10,19,0,12,0,
22,4477,ELE-PLS13 ,0,2017,8,18,0,14,28,3F-1
23,4478,MCT-PLS13 ,0,0,16,8,0,21,0,
24,4479,ELE-PLS13 ,0,2017,7,21,0,12,16,3F-1
25,4480,MCT-PLS13 ,0,0,4,0,0,0,0,
26,4481,ELE-PLS13 ,1,2017,6,25,0,0,0,"1F-1,2F-2"
27,4482,MCT-PLS13 ,0,2016,2,0,0,0,0,2F-1
28,4483,CIV-PLS13 ,1,2017,15,21,0,0,0,"1F-1,2F-3"
29,4484,MCT-PLS13 ,0,2017,11,14,0,27,36,3F-1
30,4485,IND-PLS13 ,0,0,5,5,0,0,0,
31,4486,ELE-PLS13 ,0,2017,16,21,0,0,0,"1F-1,2F-1,3F-1"
32,4487,MCT-PLS13 ,0,0,6,9,0,12,16,
33,4488,CIV-PLS13 ,0,0,0,0,0,0,0,
34,4489,CIV-PLS13 ,1,2016,10,20,0,0,0,1F-2
35,4490,ELE-PLS13 ,0,0,11,14,0,12,28,
36,4491,ELE-PLS13 ,0,2016,11,15,0,0,0,"2F-1,3F-1"
37,4492,IND-PLS13 ,0,0,7,17,0,19,10,
38,4493,CIV-PLS13 ,0,2017,13,25,0,10,0,
39,4494,ELE-PLS13 ,0,0,8,11,0,0,0,
40,4495,ELE-PLS13 ,0,0,9,13,0,14,22,
41,4496,ELE-PLS13 ,1,2017,15,17,0,0,0,"2F-1,3F-2"
42,4497,CIV-PLS13 ,0,0,1,10,0,0,0,
43,4498,MCT-PLS13 ,0,0,13,5,0,0,14,
44,4499,CIV-PLS13 ,0,0,11,12,0,5,8,
45,4500,IND-PLS13 ,1,2016,17,23,0,0,0,1F-2
46,4501,ELE-PLS13 ,0,2017,11,20,0,0,0,
47,4502,CIV-PLS13 ,0,0,9,6,0,0,0,
48,4503,IND-PLS13 ,0,2017,13,22,0,0,0,"2F-1,3F-1"
49,4504,MCT-PLS13 ,0,0,9,17,0,10,24,
50,4505,ELE-PLS13 ,0,0,10,5,0,24,10,
51,4506,CIV-PLS13 ,0,0,10,13,0,0,14,
52,4507,IND-PLS13 ,1,2016,11,24,0,0,0,1F-3
53,4508,CIV-PLS13 ,0,0,13,7,0,20,15,
54,4509,ELE-PLS13 ,0,0,2,0,0,0,0,
55,4510,MCT-PLS13 ,0,0,7,8,0,0,4,
56,4511,IND-PLS13 ,1,2017,13,8,0,37,0,"2F-1,3F-2"
57,4512,CIV-PLS13 ,1,2017,9,28,0,0,0,1F-2
58,4513,MCT-PLS13 ,0,0,7,3,0,0,0,
59,4514,ELE-PLS13 ,0,0,4,13,0,10,13,
60,4515,CIV-PLS13 ,0,0,8,0,0,0,0,
61,4516,MEC-PLS13 ,0,2016,11,0,0,0,14,"1F-1,3F-1"
62,4517,ELE-PLS13 ,1,2017,6,23,0,22,0,"2F-1,3F-3"
63,4518,CIV-PLS13 ,0,0,5,0,0,0,0,
64,4519,ELE-PLS13 ,0,0,0,0,0,0,0,
65,4520,ELE-PLS13 ,1,2016,8,0,0,0,0,"1F-1,2F-2"
66,4521,ELE-PLS13 ,0,0,2,0,0,0,0,
