Asignatura,Cod.Car.Sec,1P,2P,Taller,Aprobado
2,0,8,10,2,0
2,6,15,7,5,0
2,0,17,3,6,0
2,1,9,15,4,0
2,1,7,11,5,0
2,6,12,4,2,0
2,3,15,22,3,0
2,1,1,14,4,0
2,3,7,8,2,0
2,6,2,16,2,0
2,6,10,22,4,0
2,1,8,19,9,0
2,1,3,16,2,0
2,0,12,17,6,0
2,1,0,16,2,0
2,5,10,8,2,0
2,1,9,18,2,0
2,3,0,18,6,0
2,5,12,14,4,0
2,1,13,11,2,0
2,1,3,25,7,0
2,4,9,7,4,0
2,3,11,4,4,0
2,3,9,11,7,0
2,3,16,17,6,0
2,1,16,18,6,0
2,1,15,6,2,0
2,1,9,12,2,0
2,6,14,17,5,0
2,6,2,13,3,0
2,1,18,7,7,0
2,1,8,10,6,0
2,1,12,4,4,0
2,2,16,21,4,0
2,5,10,7,5,0
2,1,14,10,3,0
2,1,5,12,3,0
2,4,8,15,9,0
2,1,8,15,2,0
2,5,5,12,4,0
2,4,8,14,3,0
2,1,11,14,3,0
2,3,10,16,3,0
2,1,9,6,4,0
2,1,8,13,4,0
2,5,7,19,9,0
2,5,9,21,8,0
2,1,19,26,10,1
2,1,15,30,3,1
2,1,15,20,3,0
2,4,15,7,6,0
2,3,12,12,6,0
2,3,8,10,7,0
2,5,16,16,3,0
2,1,10,20,6,1
2,6,5,10,5,0
2,4,4,12,8,0
2,5,13,5,9,0
2,4,3,13,2,0
2,1,3,13,2,0
2,5,14,14,7,0
2,3,11,21,5,1
2,1,5,11,5,0
2,4,3,19,2,0
2,5,17,18,7,0
2,1,14,14,7,0
2,3,9,6,5,0
2,1,6,20,5,0
2,1,24,33,6,1
2,1,9,13,2,0
2,4,15,16,7,0
2,3,4,11,2,0
2,3,7,8,4,0
2,1,15,18,2,1
2,3,7,8,3,0
2,1,11,20,5,1
2,0,6,9,1,0
2,1,5,10,6,0
2,5,18,19,5,1
2,1,15,14,3,0
2,1,6,10,3,0
2,1,16,6,6,0
2,1,20,14,6,0
2,5,17,16,4,0
2,4,18,16,5,1
2,1,6,14,7,0
2,3,10,21,4,0
2,1,7,13,6,0
2,1,12,19,6,0
2,1,7,8,4,0
2,1,18,18,4,0
2,1,6,16,4,0
2,3,18,15,8,1
2,1,8,14,6,0
2,1,10,19,6,0
2,5,19,16,8,1
2,5,7,9,6,0
2,1,9,14,7,0
2,3,3,13,5,0
2,1,16,26,7,1
2,1,3,15,2,0
2,3,14,18,8,1
2,5,13,10,6,0
2,3,4,20,2,0
2,1,11,4,7,0
2,3,21,25,9,1
2,1,5,10,3,0
2,1,12,17,2,0
2,1,11,13,3,0
2,4,12,26,8,1
2,1,11,21,3,1
2,1,11,4,2,0
2,3,9,9,4,0
2,1,23,21,8,1
2,3,7,19,2,0
2,1,6,12,4,0
2,1,13,14,9,0
2,1,17,20,4,1
2,1,11,22,8,0
2,1,9,8,5,0
2,1,9,14,8,0
2,3,13,22,8,0
2,3,7,8,4,0
2,2,5,18,2,0
2,3,19,20,6,1
2,1,20,18,5,1
2,3,21,20,5,1
2,1,24,20,4,1
2,1,16,17,5,0
2,1,3,12,3,0
2,1,6,19,2,0
2,5,7,14,9,0
2,2,10,6,4,0
2,3,2,13,5,0
2,1,10,16,9,0
2,1,5,13,3,0
2,3,8,17,5,0
2,1,18,26,4,1
2,6,13,9,4,0
2,4,10,25,9,1
2,5,9,11,5,0
2,1,0,15,3,0
2,1,9,10,4,0
2,4,20,15,4,1
2,3,12,15,4,0
2,1,11,14,4,0
2,3,7,14,3,0
2,5,8,11,5,0
2,4,14,19,9,0
2,1,4,11,3,0
2,1,10,13,4,0
2,3,18,5,9,0
2,5,13,13,5,0
2,1,15,15,6,1
2,1,9,13,2,0
2,3,13,19,3,1
2,3,24,29,10,1
2,4,8,18,5,0
2,1,7,17,6,0
2,4,6,12,4,0
2,5,17,9,5,0
2,0,11,17,4,0
2,3,7,12,4,0
2,1,18,13,4,0
2,4,12,18,5,0
2,1,12,12,7,0
2,5,9,6,6,0
2,1,10,12,5,0
2,5,7,9,4,0
2,3,20,14,6,0
2,0,7,15,7,0
2,3,10,10,5,0
2,6,19,18,5,0
2,3,11,10,2,0
2,3,12,19,4,0
2,1,12,11,7,0
2,1,6,15,4,0
2,1,12,21,9,1
