Asignatura,1P,2P,Taller,Aprobado
2,8,10,2,0
2,15,7,5,0
2,17,3,6,0
2,9,15,4,0
2,7,11,5,0
2,12,4,2,0
2,15,22,3,0
2,1,14,4,0
2,7,8,2,0
2,2,16,2,0
2,10,22,4,0
2,8,19,9,0
2,3,16,2,0
2,12,17,6,0
2,0,16,2,0
2,10,8,2,0
2,9,18,2,0
2,0,18,6,0
2,12,14,4,0
2,13,11,2,0
2,3,25,7,0
2,9,7,4,0
2,11,4,4,0
2,9,11,7,0
2,16,17,6,0
2,16,18,6,0
2,15,6,2,0
2,9,12,2,0
2,14,17,5,0
2,2,13,3,0
2,18,7,7,0
2,8,10,6,0
2,12,4,4,0
2,16,21,4,0
2,10,7,5,0
2,14,10,3,0
2,5,12,3,0
2,8,15,9,0
2,8,15,2,0
2,5,12,4,0
2,8,14,3,0
2,11,14,3,0
2,10,16,3,0
2,9,6,4,0
2,8,13,4,0
2,7,19,9,0
2,9,21,8,0
2,19,26,10,1
2,15,30,3,1
2,15,20,3,0
2,15,7,6,0
2,12,12,6,0
2,8,10,7,0
2,16,16,3,0
2,10,20,6,1
2,5,10,5,0
2,4,12,8,0
2,13,5,9,0
2,3,13,2,0
2,3,13,2,0
2,14,14,7,0
2,11,21,5,1
2,5,11,5,0
2,3,19,2,0
2,17,18,7,0
2,14,14,7,0
2,9,6,5,0
2,6,20,5,0
2,24,33,6,1
2,9,13,2,0
2,15,16,7,0
2,4,11,2,0
2,7,8,4,0
2,15,18,2,1
2,7,8,3,0
2,11,20,5,1
2,6,9,1,0
2,5,10,6,0
2,18,19,5,1
2,15,14,3,0
2,6,10,3,0
2,16,6,6,0
2,20,14,6,0
2,17,16,4,0
2,18,16,5,1
2,6,14,7,0
2,10,21,4,0
2,7,13,6,0
2,12,19,6,0
2,7,8,4,0
2,18,18,4,0
2,6,16,4,0
2,18,15,8,1
2,8,14,6,0
2,10,19,6,0
2,19,16,8,1
2,7,9,6,0
2,9,14,7,0
2,3,13,5,0
2,16,26,7,1
2,3,15,2,0
2,14,18,8,1
2,13,10,6,0
2,4,20,2,0
2,11,4,7,0
2,21,25,9,1
2,5,10,3,0
2,12,17,2,0
2,11,13,3,0
2,12,26,8,1
2,11,21,3,1
2,11,4,2,0
2,9,9,4,0
2,23,21,8,1
2,7,19,2,0
2,6,12,4,0
2,13,14,9,0
2,17,20,4,1
2,11,22,8,0
2,9,8,5,0
2,9,14,8,0
2,13,22,8,0
2,7,8,4,0
2,5,18,2,0
2,19,20,6,1
2,20,18,5,1
2,21,20,5,1
2,24,20,4,1
2,16,17,5,0
2,3,12,3,0
2,6,19,2,0
2,7,14,9,0
2,10,6,4,0
2,2,13,5,0
2,10,16,9,0
2,5,13,3,0
2,8,17,5,0
2,18,26,4,1
2,13,9,4,0
2,10,25,9,1
2,9,11,5,0
2,0,15,3,0
2,9,10,4,0
2,20,15,4,1
2,12,15,4,0
2,11,14,4,0
2,7,14,3,0
2,8,11,5,0
2,14,19,9,0
2,4,11,3,0
2,10,13,4,0
2,18,5,9,0
2,13,13,5,0
2,15,15,6,1
2,9,13,2,0
2,13,19,3,1
2,24,29,10,1
2,8,18,5,0
2,7,17,6,0
2,6,12,4,0
2,17,9,5,0
2,11,17,4,0
2,7,12,4,0
2,18,13,4,0
2,12,18,5,0
2,12,12,7,0
2,9,6,6,0
2,10,12,5,0
2,7,9,4,0
2,20,14,6,0
2,7,15,7,0
2,10,10,5,0
2,19,18,5,0
2,11,10,2,0
2,12,19,4,0
2,12,11,7,0
2,6,15,4,0
2,12,21,9,1
2,0,15,4,0
2,22,15,6,0
2,5,10,4,0
2,14,12,4,0
2,9,17,9,0
2,9,18,5,0
2,12,11,6,0
2,18,16,8,0
2,8,7,2,0
2,5,12,4,0
2,5,13,5,0
2,7,13,2,0
2,8,15,6,0
2,3,18,3,0
2,9,10,3,0
2,16,11,5,0
2,15,14,6,1
2,17,14,7,0
2,20,32,9,1
2,11,14,4,0
2,9,6,2,0
2,21,28,6,1
2,7,16,7,0
2,13,18,4,1
2,19,0,6,0
2,11,12,2,0
2,16,17,5,1
2,16,17,3,1
2,11,19,5,0
2,8,11,4,0
2,12,21,9,1
2,6,14,7,0
2,13,17,7,1
2,15,18,7,1
2,7,10,3,0
2,5,10,4,0
2,15,0,7,0
2,3,21,2,0
2,18,17,3,0
2,12,17,6,1
2,20,23,6,1
2,21,24,4,1
2,9,9,5,0
2,9,13,8,0
2,14,20,7,1
2,20,20,3,1
2,14,13,5,0
2,15,16,6,0
2,5,18,9,0
2,8,26,3,0
2,5,22,3,0
2,21,18,3,0
2,8,18,5,0
2,10,8,5,0
2,7,8,8,0
2,7,11,5,0
2,8,7,7,0
2,13,15,4,0
2,13,18,4,0
2,16,12,7,0
2,10,19,6,0
2,11,9,7,0
2,7,22,6,0
2,12,13,4,0
2,9,16,5,0
2,11,4,5,0
2,11,18,3,0
2,8,9,5,0
2,9,6,3,0
2,20,25,9,1
2,6,14,5,0
2,16,5,6,0
2,10,14,5,0
2,4,14,7,0
2,18,16,2,1
2,9,20,6,0
2,13,7,7,0
2,13,14,5,0
2,11,9,5,0
2,21,33,10,1
2,5,10,3,0
2,12,15,3,0
2,11,15,2,0
2,20,25,6,1
2,13,23,5,0
2,11,16,4,0
2,11,24,5,0
2,19,25,7,1
2,8,11,6,0
2,14,19,3,1
2,11,7,6,0
2,20,12,7,0
2,7,12,5,0
2,18,21,5,1
2,11,12,3,0
2,22,27,10,1
2,12,18,5,1
2,0,15,3,0
2,14,5,7,0
2,14,8,5,0
2,8,12,6,0
2,10,22,3,0
2,18,14,7,0
2,8,16,6,0
2,17,12,3,0
2,10,16,3,0
2,9,9,5,0
2,10,16,4,0
2,13,3,6,0
2,19,17,9,1
2,17,15,9,0
2,22,20,5,1
2,22,21,7,1
2,10,21,4,0
2,7,9,6,0
2,12,6,6,0
2,7,18,2,0
2,5,10,5,0
2,11,8,9,0
2,11,17,3,0
2,21,21,8,1
2,24,24,4,1
2,14,20,4,0
2,10,23,4,0
2,13,9,3,0
2,24,28,9,1
2,13,25,7,1
2,4,20,5,0
2,5,24,7,0
2,17,16,6,0
2,8,23,6,1
2,0,15,5,0
2,6,9,2,0
2,11,18,3,0
2,12,4,6,0
2,14,18,6,0
2,18,21,5,1
2,7,16,6,0
2,0,22,4,0
2,5,10,2,0
2,19,14,7,0
2,19,11,6,0
2,17,20,8,1
2,12,20,8,0
2,5,16,6,0
2,10,7,3,0
2,7,15,5,0
2,20,23,4,1
2,16,17,4,1
