id_anony,Cod.Car.Sec,Cod.Car.Sec Codificado,Materia_1,Materia_1 codificada,Anho_F_1,ciclo_F_1,Recursante_1,P1_F_1,P2_F_1,T_F_1,NotaFinal_1,Materia_1 Nota=1,Materia_1 Nota=2,Materia_1 Nota=3,Materia_1 Nota=4,Materia_1 Nota=5,Abandono la Materia 1,Materia_2,Materia_2 codificada,Anho_F_2,ciclo_F_2,Recursante_2,P1_F_2,P2_F_2,T_F_2,NotaFinal_2,Materia_2 Nota=1,Materia_2 Nota=2,Materia_2 Nota=3,Materia_2 Nota=4,Materia_2 Nota=5,Abandono la Materia 2,Materia_3,Materia_3 codificada,Anho_F_3,ciclo_F_3,Recursante_3,P1_F_3,P2_F_3,T_F_3,NotaFinal_3,Materia_3 Nota=1,Materia_3 Nota=2,Materia_3 Nota=3,Materia_3 Nota=4,Materia_3 Nota=5,Abandono la Materia 3
2838,MCT-PLS13 ,28.0,CALCULO 1,33.0,2013.0,2.0,1.0,0.0,17.0,8.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,CALCULO 2,34.0,2014.0,1.0,1.0,11.0,16.0,8.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,CALCULO 3,35.0,2016.0,2.0,1.0,10.0,7.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0
4037,MCT-PLS13 ,28.0,CALCULO 1,33.0,2015.0,2.0,1.0,16.0,19.0,8.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,CALCULO 2,34.0,2016.0,1.0,1.0,22.0,31.0,7.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,CALCULO 3,35.0,2016.0,2.0,1.0,6.0,9.0,8.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0
4061,MCT-PLS13 ,28.0,CALCULO 1,33.0,2015.0,2.0,1.0,14.0,27.0,8.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,CALCULO 2,34.0,2016.0,1.0,1.0,13.0,23.0,5.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,CALCULO 3,35.0,2016.0,2.0,1.0,17.0,10.0,8.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0
4062,MCT-PLS13 ,28.0,CALCULO 1,33.0,2015.0,2.0,1.0,5.0,24.0,6.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,CALCULO 2,34.0,2016.0,1.0,1.0,21.0,19.0,5.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,CALCULO 3,35.0,2016.0,2.0,1.0,5.0,18.0,6.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0
4065,MCT-PLS13 ,28.0,CALCULO 1,33.0,2015.0,2.0,1.0,19.0,30.0,9.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,CALCULO 2,34.0,2016.0,1.0,1.0,24.0,29.0,9.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,CALCULO 3,35.0,2016.0,2.0,1.0,22.0,20.0,10.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0
4088,MCT-PLS13 ,28.0,CALCULO 1,33.0,2015.0,2.0,1.0,21.0,24.0,8.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,CALCULO 2,34.0,2016.0,1.0,1.0,19.0,25.0,6.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,CALCULO 3,35.0,2016.0,2.0,1.0,20.0,27.0,8.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0
4097,MCT-PLS13 ,28.0,CALCULO 1,33.0,2015.0,2.0,1.0,21.0,26.0,8.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,CALCULO 2,34.0,2016.0,1.0,1.0,19.0,20.0,5.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,CALCULO 3,35.0,2016.0,2.0,1.0,13.0,18.0,8.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0
4098,CIV-PLS13 ,5.0,CALCULO 1,33.0,2015.0,2.0,1.0,22.0,25.0,8.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,CALCULO 2,34.0,2016.0,1.0,1.0,15.0,33.0,7.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,CALCULO 3,35.0,2016.0,2.0,1.0,19.0,36.0,8.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0
4100,MCT-PLS13 ,28.0,CALCULO 1,33.0,2015.0,2.0,1.0,9.0,28.0,9.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,CALCULO 2,34.0,2016.0,1.0,1.0,15.0,20.0,10.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,CALCULO 3,35.0,2016.0,2.0,1.0,17.0,4.0,7.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0
4103,MCT-PLS13 ,28.0,CALCULO 1,33.0,2015.0,2.0,1.0,8.0,28.0,7.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,CALCULO 2,34.0,2016.0,1.0,1.0,18.0,26.0,7.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,CALCULO 3,35.0,2016.0,2.0,1.0,12.0,9.0,6.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0
