Anho,Ciclo,Cod.Asign,Asignatura,Aprobado,1P,2P,Taller,RecursaConFirma,DerechoAFinal,Primer.Rec,Segundo.Rec,id_anony,Calificacion
2017,1,13008,CALCULO 2,1,0,0,0,1,1,0,0,es_4245,2.0
2017,1,13008,CALCULO 2,1,21,10,0,1,1,0,0,es_414,3.0
2017,1,13008,CALCULO 2,0,19,0,0,0,0,0,0,es_4556,0.0
2017,1,13008,CALCULO 2,1,0,20,0,1,1,0,0,es_4971,3.0
2017,1,13008,CALCULO 2,1,13,16,0,1,1,0,0,es_4972,3.0
2017,1,13008,CALCULO 2,1,23,18,0,1,1,0,0,es_4973,4.0
2017,1,13008,CALCULO 2,0,0,0,0,1,1,0,0,es_4275,0.0
2017,1,13008,CALCULO 2,1,18,17,0,1,1,0,0,es_4978,4.0
2017,1,13008,CALCULO 2,0,16,2,0,0,0,0,0,es_4290,0.0
2017,1,13008,CALCULO 2,0,16,11,0,1,1,0,0,es_4583,1.0
2017,1,13008,CALCULO 2,0,0,0,0,1,1,0,0,es_4299,0.0
2017,1,13008,CALCULO 2,1,19,14,0,1,1,0,0,es_4984,4.0
2017,1,13008,CALCULO 2,1,20,17,0,1,1,0,0,es_4986,2.0
2017,1,13008,CALCULO 2,0,17,8,0,0,0,0,0,es_4608,0.0
2017,1,13008,CALCULO 2,1,20,11,0,1,1,0,0,es_4992,3.0
2017,1,13008,CALCULO 2,1,20,16,0,1,1,0,0,es_4999,2.0
2017,1,13008,CALCULO 2,1,21,27,0,1,1,0,0,es_5702,5.0
2017,1,13008,CALCULO 2,1,0,0,0,1,1,0,0,es_4623,2.0
2017,1,13008,CALCULO 2,1,17,4,0,1,1,0,0,es_5004,2.0
2017,1,13008,CALCULO 2,1,16,16,0,1,1,0,0,es_5006,3.0
2017,1,13008,CALCULO 2,1,17,10,0,1,1,0,0,es_5010,2.0
2017,1,13008,CALCULO 2,1,0,0,0,1,1,0,0,es_5015,2.0
2017,1,13008,CALCULO 2,1,15,20,0,1,1,0,0,es_5016,4.0
2017,1,13008,CALCULO 2,0,22,0,0,0,0,0,0,es_5017,0.0
2017,1,13008,CALCULO 2,1,19,10,0,1,1,0,0,es_5713,5.0
2017,1,13008,CALCULO 2,1,16,11,0,1,1,0,0,es_5020,2.0
2017,1,13008,CALCULO 2,1,0,0,0,1,1,0,0,es_5026,2.0
2017,1,13008,CALCULO 2,0,5,29,0,1,1,0,0,es_5030,1.0
2017,1,13008,CALCULO 2,0,21,8,0,1,1,0,0,es_4655,1.0
2017,1,13008,CALCULO 2,0,15,0,0,1,1,0,0,es_4657,0.0
2017,1,13008,CALCULO 2,0,0,0,0,1,1,0,0,es_4070,1.0
2017,1,13008,CALCULO 2,1,0,0,0,1,1,0,0,es_5049,2.0
2017,1,13008,CALCULO 2,0,17,4,0,1,1,0,0,es_5053,0.0
2017,1,13008,CALCULO 2,0,21,3,0,1,1,0,0,es_5729,0.0
2017,1,13008,CALCULO 2,1,14,12,0,1,1,0,0,es_5056,2.0
2017,1,13008,CALCULO 2,0,13,10,0,0,0,0,0,es_5057,0.0
2017,1,13008,CALCULO 2,0,18,8,0,0,0,0,0,es_5060,0.0
2017,1,13008,CALCULO 2,1,18,8,0,1,1,0,0,es_5060,4.0
2017,1,13008,CALCULO 2,1,18,14,0,1,1,0,0,es_5062,2.0
2017,1,13008,CALCULO 2,1,15,20,0,1,1,0,0,es_5067,2.0
2017,1,13008,CALCULO 2,1,16,23,0,1,1,0,0,es_5068,2.0
2017,1,13008,CALCULO 2,1,17,18,0,1,1,0,0,es_4685,3.0
2017,1,13008,CALCULO 2,1,22,34,0,1,1,0,0,es_4687,5.0
2017,1,13008,CALCULO 2,0,13,13,0,1,1,0,0,es_5080,0.0
2017,1,13008,CALCULO 2,0,15,5,0,0,0,0,0,es_5084,0.0
2017,1,13008,CALCULO 2,1,0,0,0,1,1,0,0,es_5086,3.0
2017,1,13008,CALCULO 2,1,19,34,0,1,1,0,0,es_5740,5.0
2017,1,13008,CALCULO 2,1,24,0,0,1,1,0,0,es_3319,2.0
2017,1,13008,CALCULO 2,1,24,16,0,1,1,0,0,es_5093,2.0
2017,1,13008,CALCULO 2,1,21,10,0,1,1,0,0,es_5096,2.0
2017,1,13008,CALCULO 2,1,21,26,0,1,1,0,0,es_5099,5.0
2017,1,13008,CALCULO 2,1,16,24,0,1,1,0,0,es_5741,3.0
2017,1,13008,CALCULO 2,1,19,13,0,1,1,0,0,es_5744,5.0
2017,1,13008,CALCULO 2,1,22,28,0,1,1,0,0,es_5747,5.0
2017,1,13008,CALCULO 2,0,21,7,0,0,0,0,0,es_5748,0.0
2017,1,13008,CALCULO 2,1,24,34,0,1,1,0,0,es_5750,5.0
2017,1,13008,CALCULO 2,1,17,20,0,1,1,0,0,es_5752,4.0
2017,1,13008,CALCULO 2,1,16,11,0,1,1,0,0,es_5757,4.0
2017,1,13008,CALCULO 2,1,16,23,0,1,1,0,0,es_5761,2.0
2017,1,13008,CALCULO 2,0,18,14,0,1,1,0,0,es_4699,1.0
2017,1,13008,CALCULO 2,1,24,23,0,1,1,0,0,es_5762,5.0
2017,1,13008,CALCULO 2,1,11,11,0,1,1,0,0,es_5115,3.0
2017,1,13008,CALCULO 2,1,24,4,0,1,1,0,0,es_5119,4.0
2017,1,13008,CALCULO 2,0,20,17,0,1,1,0,0,es_5125,0.0
2017,1,13008,CALCULO 2,1,0,0,0,1,1,0,0,es_4702,4.0
2017,1,13008,CALCULO 2,1,22,26,0,1,1,0,0,es_5126,5.0
2017,1,13008,CALCULO 2,1,17,4,0,1,1,0,0,es_5127,4.0
2017,1,13008,CALCULO 2,0,0,0,0,1,1,0,0,es_5131,1.0
2017,1,13008,CALCULO 2,1,22,19,0,1,1,0,0,es_5776,4.0
2017,1,13008,CALCULO 2,1,19,15,0,1,1,0,0,es_5784,3.0
2017,1,13008,CALCULO 2,0,18,10,0,0,0,0,0,es_5138,0.0
