,Anho,Ciclo,Cod.Asign,Asignatura,Cod.Curso,Aprobado,1P,2P,RecursaConFirma,Taller,DerechoAFinal,Primer.Rec,Segundo.Rec,id_anony,Calificacion
2,2017,1,13008,CALCULO 2,2,True,0,0,True,0,True,0,0,es_4245,2.0
4,2017,1,13008,CALCULO 2,2,True,21,10,True,0,True,0,0,es_414,3.0
7,2017,1,13008,CALCULO 2,2,False,19,0,False,0,False,0,0,es_4556,0.0
9,2017,1,13008,CALCULO 2,2,True,0,20,True,0,True,0,0,es_4971,3.0
10,2017,1,13008,CALCULO 2,2,True,13,16,True,0,True,0,0,es_4972,3.0
11,2017,1,13008,CALCULO 2,2,True,23,18,True,0,True,0,0,es_4973,4.0
12,2017,1,13008,CALCULO 2,2,False,0,0,True,0,True,0,0,es_4275,0.0
13,2017,1,13008,CALCULO 2,2,True,18,17,True,0,True,0,0,es_4978,4.0
15,2017,1,13008,CALCULO 2,2,False,16,2,False,0,False,0,0,es_4290,0.0
16,2017,1,13008,CALCULO 2,2,False,16,11,True,0,True,0,0,es_4583,1.0
17,2017,1,13008,CALCULO 2,2,False,0,0,True,0,True,0,0,es_4299,0.0
18,2017,1,13008,CALCULO 2,2,True,19,14,True,0,True,0,0,es_4984,4.0
19,2017,1,13008,CALCULO 2,2,True,20,17,True,0,True,0,0,es_4986,2.0
20,2017,1,13008,CALCULO 2,2,False,17,8,False,0,False,0,0,es_4608,0.0
22,2017,1,13008,CALCULO 2,2,True,20,11,True,0,True,0,0,es_4992,3.0
23,2017,1,13008,CALCULO 2,2,True,20,16,True,0,True,0,0,es_4999,2.0
24,2017,1,13008,CALCULO 2,2,True,21,27,True,0,True,0,0,es_5702,5.0
25,2017,1,13008,CALCULO 2,2,True,0,0,True,0,True,0,0,es_4623,2.0
26,2017,1,13008,CALCULO 2,2,True,17,4,True,0,True,0,0,es_5004,2.0
27,2017,1,13008,CALCULO 2,2,True,16,16,True,0,True,0,0,es_5006,3.0
28,2017,1,13008,CALCULO 2,2,True,17,10,True,0,True,0,0,es_5010,2.0
29,2017,1,13008,CALCULO 2,2,True,0,0,True,0,True,0,0,es_5015,2.0
30,2017,1,13008,CALCULO 2,2,True,15,20,True,0,True,0,0,es_5016,4.0
31,2017,1,13008,CALCULO 2,2,False,22,0,False,0,False,0,0,es_5017,0.0
32,2017,1,13008,CALCULO 2,2,True,19,10,True,0,True,0,0,es_5713,5.0
33,2017,1,13008,CALCULO 2,2,True,16,11,True,0,True,0,0,es_5020,2.0
34,2017,1,13008,CALCULO 2,2,True,0,0,True,0,True,0,0,es_5026,2.0
35,2017,1,13008,CALCULO 2,2,False,5,29,True,0,True,0,0,es_5030,1.0
36,2017,1,13008,CALCULO 2,2,False,21,8,True,0,True,0,0,es_4655,1.0
37,2017,1,13008,CALCULO 2,2,False,15,0,True,0,True,0,0,es_4657,0.0
38,2017,1,13008,CALCULO 2,2,False,0,0,True,0,True,0,0,es_4070,1.0
39,2017,1,13008,CALCULO 2,2,True,0,0,True,0,True,0,0,es_5049,2.0
41,2017,1,13008,CALCULO 2,2,False,17,4,True,0,True,0,0,es_5053,0.0
42,2017,1,13008,CALCULO 2,2,False,21,3,True,0,True,0,0,es_5729,0.0
43,2017,1,13008,CALCULO 2,2,True,14,12,True,0,True,0,0,es_5056,2.0
44,2017,1,13008,CALCULO 2,2,False,13,10,False,0,False,0,0,es_5057,0.0
46,2017,1,13008,CALCULO 2,2,False,18,8,False,0,False,0,0,es_5060,0.0
47,2017,1,13008,CALCULO 2,2,True,18,8,True,0,True,0,0,es_5060,4.0
48,2017,1,13008,CALCULO 2,2,True,18,14,True,0,True,0,0,es_5062,2.0
49,2017,1,13008,CALCULO 2,2,True,15,20,True,0,True,0,0,es_5067,2.0
50,2017,1,13008,CALCULO 2,2,True,16,23,True,0,True,0,0,es_5068,2.0
52,2017,1,13008,CALCULO 2,2,True,17,18,True,0,True,0,0,es_4685,3.0
53,2017,1,13008,CALCULO 2,2,True,22,34,True,0,True,0,0,es_4687,5.0
54,2017,1,13008,CALCULO 2,2,False,13,13,True,0,True,0,0,es_5080,0.0
55,2017,1,13008,CALCULO 2,2,False,15,5,False,0,False,0,0,es_5084,0.0
56,2017,1,13008,CALCULO 2,2,True,0,0,True,0,True,0,0,es_5086,3.0
57,2017,1,13008,CALCULO 2,2,True,19,34,True,0,True,0,0,es_5740,5.0
58,2017,1,13008,CALCULO 2,2,True,24,0,True,0,True,0,0,es_3319,2.0
59,2017,1,13008,CALCULO 2,2,True,24,16,True,0,True,0,0,es_5093,2.0
60,2017,1,13008,CALCULO 2,2,True,21,10,True,0,True,0,0,es_5096,2.0
61,2017,1,13008,CALCULO 2,2,True,21,26,True,0,True,0,0,es_5099,5.0
62,2017,1,13008,CALCULO 2,2,True,16,24,True,0,True,0,0,es_5741,3.0
63,2017,1,13008,CALCULO 2,2,True,19,13,True,0,True,0,0,es_5744,5.0
64,2017,1,13008,CALCULO 2,2,True,22,28,True,0,True,0,0,es_5747,5.0
65,2017,1,13008,CALCULO 2,2,False,21,7,False,0,False,0,0,es_5748,0.0
66,2017,1,13008,CALCULO 2,2,True,24,34,True,0,True,0,0,es_5750,5.0
67,2017,1,13008,CALCULO 2,2,True,17,20,True,0,True,0,0,es_5752,4.0
68,2017,1,13008,CALCULO 2,2,True,16,11,True,0,True,0,0,es_5757,4.0
69,2017,1,13008,CALCULO 2,2,True,16,23,True,0,True,0,0,es_5761,2.0
70,2017,1,13008,CALCULO 2,2,False,18,14,True,0,True,0,0,es_4699,1.0
71,2017,1,13008,CALCULO 2,2,True,24,23,True,0,True,0,0,es_5762,5.0
72,2017,1,13008,CALCULO 2,2,True,11,11,True,0,True,0,0,es_5115,3.0
73,2017,1,13008,CALCULO 2,2,True,24,4,True,0,True,0,0,es_5119,4.0
74,2017,1,13008,CALCULO 2,2,False,20,17,True,0,True,0,0,es_5125,0.0
75,2017,1,13008,CALCULO 2,2,True,0,0,True,0,True,0,0,es_4702,4.0
76,2017,1,13008,CALCULO 2,2,True,22,26,True,0,True,0,0,es_5126,5.0
77,2017,1,13008,CALCULO 2,2,True,17,4,True,0,True,0,0,es_5127,4.0
78,2017,1,13008,CALCULO 2,2,False,0,0,True,0,True,0,0,es_5131,1.0
79,2017,1,13008,CALCULO 2,2,True,22,19,True,0,True,0,0,es_5776,4.0
80,2017,1,13008,CALCULO 2,2,True,19,15,True,0,True,0,0,es_5784,3.0
81,2017,1,13008,CALCULO 2,2,False,18,10,False,0,False,0,0,es_5138,0.0
82,2017,1,13008,CALCULO 2,2,True,17,0,True,0,True,0,0,es_5141,3.0
83,2017,1,13008,CALCULO 2,2,True,11,14,True,0,True,0,0,es_5142,2.0
84,2017,1,13008,CALCULO 2,2,True,24,7,True,0,True,0,0,es_5148,3.0
85,2017,1,13008,CALCULO 2,2,True,24,16,True,0,True,0,0,es_5791,5.0
87,2017,1,13008,CALCULO 2,2,True,23,24,True,0,True,0,0,es_5792,5.0
88,2017,1,13008,CALCULO 2,2,True,20,16,True,0,True,0,0,es_5794,5.0
89,2017,1,13008,CALCULO 2,2,True,23,30,True,0,True,0,0,es_5796,5.0
90,2017,1,13008,CALCULO 2,2,True,17,27,True,0,True,0,0,es_5799,5.0
91,2017,1,13008,CALCULO 2,2,True,23,34,True,0,True,0,0,es_5803,5.0
92,2017,1,13008,CALCULO 2,2,True,16,19,True,0,True,0,0,es_5160,3.0
93,2017,1,13008,CALCULO 2,2,False,6,26,True,0,True,0,0,es_4107,1.0
94,2017,1,13008,CALCULO 2,2,True,13,24,True,0,True,0,0,es_5808,5.0
96,2017,1,13008,CALCULO 2,2,False,18,15,True,0,True,0,0,es_5168,1.0
97,2017,1,13008,CALCULO 2,2,False,11,16,True,0,True,0,0,es_5821,1.0
98,2017,1,13008,CALCULO 2,2,True,22,25,True,0,True,0,0,es_5822,5.0
99,2017,1,13008,CALCULO 2,2,True,23,21,True,0,True,0,0,es_5825,5.0
100,2017,1,13008,CALCULO 2,2,True,12,13,True,0,True,0,0,es_5177,2.0
101,2017,1,13008,CALCULO 2,2,True,19,14,True,0,True,0,0,es_5827,5.0
102,2017,1,13008,CALCULO 2,2,True,16,24,True,0,True,0,0,es_5835,2.0
103,2017,1,13008,CALCULO 2,2,True,22,20,True,0,True,0,0,es_5836,5.0
105,2017,1,13008,CALCULO 2,2,True,22,26,True,0,True,0,0,es_5839,5.0
106,2017,1,13008,CALCULO 2,2,True,22,31,True,0,True,0,0,es_5184,5.0
107,2017,1,13008,CALCULO 2,2,True,22,24,True,0,True,0,0,es_5841,5.0
109,2017,1,13008,CALCULO 2,2,True,22,10,True,0,True,0,0,es_5843,2.0
110,2017,1,13008,CALCULO 2,2,True,22,24,True,0,True,0,0,es_5844,5.0
111,2017,1,13008,CALCULO 2,2,True,22,30,True,0,True,0,0,es_5845,5.0
112,2017,1,13008,CALCULO 2,2,True,23,12,True,0,True,0,0,es_5189,3.0
114,2017,1,13008,CALCULO 2,2,True,0,0,True,0,True,0,0,es_4730,3.0
115,2017,1,13008,CALCULO 2,2,True,23,33,True,0,True,0,0,es_5848,5.0
116,2017,1,13008,CALCULO 2,2,False,20,18,True,0,True,0,0,es_5850,0.0
117,2017,1,13008,CALCULO 2,2,False,16,0,False,0,False,0,0,es_5194,0.0
118,2017,1,13008,CALCULO 2,2,False,19,10,False,0,False,0,0,es_5852,0.0
119,2017,1,13008,CALCULO 2,2,True,21,13,True,0,True,0,0,es_5195,3.0
120,2017,1,13008,CALCULO 2,2,False,19,10,False,0,False,0,0,es_5854,0.0
121,2017,1,13008,CALCULO 2,2,True,24,17,True,0,True,0,0,es_5855,4.0
123,2017,1,13008,CALCULO 2,2,True,21,16,True,0,True,0,0,es_5198,2.0
124,2017,1,13008,CALCULO 2,2,True,16,31,True,0,True,0,0,es_5858,5.0
125,2017,1,13008,CALCULO 2,2,True,20,22,True,0,True,0,0,es_4735,4.0
126,2017,1,13008,CALCULO 2,2,True,24,30,True,0,True,0,0,es_5860,5.0
127,2017,1,13008,CALCULO 2,2,True,22,13,True,0,True,0,0,es_5203,3.0
128,2017,1,13008,CALCULO 2,2,True,17,11,True,0,True,0,0,es_5204,2.0
129,2017,1,13008,CALCULO 2,2,False,0,0,True,0,True,0,0,es_5205,1.0
130,2017,1,13008,CALCULO 2,2,True,11,13,True,0,True,0,0,es_5209,3.0
131,2017,1,13008,CALCULO 2,2,False,16,0,True,0,True,0,0,es_5210,0.0
132,2017,1,13008,CALCULO 2,2,False,20,2,False,0,False,0,0,es_5874,0.0
133,2017,1,13008,CALCULO 2,2,True,22,14,True,0,True,0,0,es_5212,3.0
134,2017,1,13008,CALCULO 2,2,True,24,0,True,0,True,0,0,es_5213,2.0
135,2017,1,13008,CALCULO 2,2,True,21,23,True,0,True,0,0,es_5878,4.0
136,2017,1,13008,CALCULO 2,2,False,13,7,False,0,False,0,0,es_4412,0.0
137,2017,1,13008,CALCULO 2,2,True,20,13,True,0,True,0,0,es_5882,2.0
138,2017,1,13008,CALCULO 2,2,True,0,0,True,0,True,0,0,es_5218,2.0
139,2017,1,13008,CALCULO 2,2,False,18,5,False,0,False,0,0,es_4413,0.0
140,2017,1,13008,CALCULO 2,2,True,22,8,True,0,True,0,0,es_4121,3.0
141,2017,1,13008,CALCULO 2,2,False,19,2,True,0,True,0,0,es_4743,1.0
142,2017,1,13008,CALCULO 2,2,True,18,20,True,0,True,0,0,es_5887,4.0
143,2017,1,13008,CALCULO 2,2,True,18,22,True,0,True,0,0,es_5890,5.0
144,2017,1,13008,CALCULO 2,2,True,23,24,True,0,True,0,0,es_5891,5.0
145,2017,1,13008,CALCULO 2,2,True,21,23,True,0,True,0,0,es_5894,5.0
146,2017,1,13008,CALCULO 2,2,True,20,23,True,0,True,0,0,es_5895,5.0
147,2017,1,13008,CALCULO 2,2,False,9,11,True,0,True,0,0,es_5231,1.0
148,2017,1,13008,CALCULO 2,2,True,11,6,True,0,True,0,0,es_5234,2.0
149,2017,1,13008,CALCULO 2,2,True,23,18,True,0,True,0,0,es_5900,4.0
151,2017,1,13008,CALCULO 2,2,False,0,0,True,0,True,0,0,es_4749,0.0
152,2017,1,13008,CALCULO 2,2,False,13,9,True,0,True,0,0,es_5239,0.0
153,2017,1,13008,CALCULO 2,2,False,17,0,False,0,False,0,0,es_5240,0.0
154,2017,1,13008,CALCULO 2,2,False,16,3,False,0,False,0,0,es_5243,0.0
155,2017,1,13008,CALCULO 2,2,True,20,23,True,0,True,0,0,es_5910,4.0
156,2017,1,13008,CALCULO 2,2,True,24,24,True,0,True,0,0,es_5912,4.0
157,2017,1,13008,CALCULO 2,2,True,15,0,True,0,True,0,0,es_5247,2.0
158,2017,1,13008,CALCULO 2,2,True,20,23,True,0,True,0,0,es_5249,3.0
159,2017,1,13008,CALCULO 2,2,True,13,14,True,0,True,0,0,es_5252,3.0
160,2017,1,13008,CALCULO 2,2,True,13,0,True,0,True,0,0,es_5254,4.0
161,2017,1,13008,CALCULO 2,2,False,15,5,False,0,False,0,0,es_4759,0.0
162,2017,1,13008,CALCULO 2,2,True,23,12,True,0,True,0,0,es_5256,2.0
163,2017,1,13008,CALCULO 2,2,False,18,13,True,0,True,0,0,es_5925,1.0
164,2017,1,13008,CALCULO 2,2,True,19,7,True,0,True,0,0,es_5266,2.0
165,2017,1,13008,CALCULO 2,2,True,0,0,True,0,True,0,0,es_4761,3.0
166,2017,1,13008,CALCULO 2,2,True,20,23,True,0,True,0,0,es_5927,4.0
168,2017,1,13008,CALCULO 2,2,False,22,21,True,0,True,0,0,es_5937,0.0
169,2017,1,13008,CALCULO 2,2,True,18,31,True,0,True,0,0,es_5938,5.0
170,2017,1,13008,CALCULO 2,2,True,24,18,True,0,True,0,0,es_5939,4.0
171,2017,1,13008,CALCULO 2,2,True,24,27,True,0,True,0,0,es_5945,4.0
172,2017,1,13008,CALCULO 2,2,False,16,3,True,0,True,0,0,es_5285,1.0
173,2017,1,13008,CALCULO 2,2,False,15,7,False,0,False,0,0,es_4767,0.0
174,2017,1,13008,CALCULO 2,2,False,15,8,False,0,False,0,0,es_5950,0.0
175,2017,1,13008,CALCULO 2,2,False,12,9,False,0,False,0,0,es_5291,0.0
176,2017,1,13008,CALCULO 2,2,True,20,20,True,0,True,0,0,es_5952,5.0
177,2017,1,13008,CALCULO 2,2,True,16,14,True,0,True,0,0,es_5953,4.0
178,2017,1,13008,CALCULO 2,2,True,21,14,True,0,True,0,0,es_5294,4.0
179,2017,1,13008,CALCULO 2,2,True,18,16,True,0,True,0,0,es_5296,2.0
180,2017,1,13008,CALCULO 2,2,True,24,21,True,0,True,0,0,es_5954,5.0
182,2017,1,13008,CALCULO 2,2,True,22,19,True,0,True,0,0,es_5958,5.0
183,2017,1,13008,CALCULO 2,2,True,24,24,True,0,True,0,0,es_5961,5.0
184,2017,1,13008,CALCULO 2,2,True,0,0,True,0,True,0,0,es_5302,3.0
185,2017,1,13008,CALCULO 2,2,True,20,19,True,0,True,0,0,es_5966,4.0
186,2017,1,13008,CALCULO 2,2,True,16,29,True,0,True,0,0,es_4436,4.0
187,2017,1,13008,CALCULO 2,2,True,9,21,True,0,True,0,0,es_5307,2.0
188,2017,1,13008,CALCULO 2,2,True,16,23,True,0,True,0,0,es_5309,4.0
189,2017,1,13008,CALCULO 2,2,True,19,14,True,0,True,0,0,es_5972,3.0
190,2017,1,13008,CALCULO 2,2,True,18,21,True,0,True,0,0,es_5974,5.0
191,2017,1,13008,CALCULO 2,2,True,19,23,True,0,True,0,0,es_5311,4.0
192,2017,1,13008,CALCULO 2,2,True,21,20,True,0,True,0,0,es_5979,5.0
193,2017,1,13008,CALCULO 2,2,True,22,2,True,0,True,0,0,es_5316,2.0
194,2017,1,13008,CALCULO 2,2,True,21,14,True,0,True,0,0,es_4782,2.0
195,2017,1,13008,CALCULO 2,2,True,23,14,True,0,True,0,0,es_5988,5.0
196,2017,1,13008,CALCULO 2,2,True,24,14,True,0,True,0,0,es_5991,4.0
197,2017,1,13008,CALCULO 2,2,True,17,17,True,0,True,0,0,es_5319,2.0
199,2017,1,13008,CALCULO 2,2,True,19,18,True,0,True,0,0,es_5323,5.0
200,2017,1,13008,CALCULO 2,2,True,22,32,True,0,True,0,0,es_6002,5.0
201,2017,1,13008,CALCULO 2,2,False,13,11,False,0,False,0,0,es_5330,0.0
