,Indice,id_anony,Anho,Cod.Car.Sec,Nota.Final,Aprobado,1P,2P,Taller,Firma,Derecho a Recuperatorio,Derecho a Final,Primer.Rec,Segundo.Rec,Primer Intento,Segundo Intento,Calificacion,Aprobo
13418,1086.0,es_272,2019,MEC-PLS13 ,2F-1,N,8,16,0,24,False,False,36,0,1.0,0.0,1.0,False
13419,1087.0,es_273,2019,ELE-PLS13 ,,N,0,0,0,0,False,False,0,0,0.0,0.0,0.0,False
13420,1088.0,es_8913,2019,ELE-PLS13 ,2F-1,N,9,20,0,29,False,False,26,0,1.0,0.0,1.0,False
13421,1089.0,es_3177,2019,CIV-PLS13 ,,N,0,0,0,0,False,False,0,0,0.0,0.0,0.0,False
13422,1090.0,es_619,2019,CIV-PLS13 ,,N,5,33,0,38,False,False,0,0,0.0,0.0,0.0,False
13423,1091.0,es_292,2019,CIV-PLS13 ,,N,0,0,0,0,False,False,0,0,0.0,0.0,0.0,False
13424,1092.0,es_655,2019,ELE-PLS13 ,,N,9,24,0,33,False,False,0,0,0.0,0.0,0.0,False
13425,1093.0,es_4245,2019,ELE-PLS13 ,,N,2,0,0,2,False,False,0,0,0.0,0.0,0.0,False
13426,1094.0,es_1499,2019,MEC-PLS13 ,,N,2,0,0,2,False,False,0,0,0.0,0.0,0.0,False
13427,1095.0,es_414,2019,CGF-PLS13 ,2F-5,S,10,15,0,25,False,False,48,0,5.0,0.0,5.0,True
13428,1096.0,es_3241,2019,CGF-PLS13 ,2F-1,N,9,18,0,27,False,False,0,0,1.0,0.0,1.0,False
13429,1097.0,es_1235,2019,ELE-PLS13 ,,N,0,0,0,0,False,False,0,0,0.0,0.0,0.0,False
13430,1098.0,es_4254,2019,IND-PLS13 ,,N,4,21,0,25,False,False,0,0,0.0,0.0,0.0,False
13431,1099.0,es_450,2019,ECA-PLS13 ,,N,0,0,0,0,False,False,0,0,0.0,0.0,0.0,False
13432,1100.0,es_4972,2019,ELE-PLS13 ,1F-3,S,12,16,0,28,False,False,0,0,3.0,0.0,3.0,True
13433,1101.0,es_329,2019,CIV-PLS13 ,,N,0,0,0,0,False,False,0,0,0.0,0.0,0.0,False
13434,1102.0,es_4266,2019,ECA-PLS13 ,,N,10,15,0,25,False,False,0,0,0.0,0.0,0.0,False
13435,1103.0,es_4012,2019,CGF-PLS13 ,,N,2,0,0,2,False,False,0,0,0.0,0.0,0.0,False
13436,1104.0,es_4274,2019,IND-PLS13 ,1F-2,S,6,21,0,27,False,False,0,0,2.0,0.0,2.0,True
13437,1105.0,es_3274,2019,ECA-PLS13 ,,N,0,0,0,0,False,False,0,0,0.0,0.0,0.0,False
13438,1106.0,es_4570,2019,CGF-PLS13 ,,N,3,1,0,4,False,False,0,0,0.0,0.0,0.0,False
13439,1107.0,es_4291,2019,ELE-PLS13 ,2F-3,S,10,0,0,10,False,False,42,0,3.0,0.0,3.0,True
13440,1108.0,es_4586,2019,ELE-PLS13 ,,N,0,0,0,0,False,False,0,0,0.0,0.0,0.0,False
13441,1109.0,es_1549,2019,MEC-PLS13 ,"1F-1,2F-2",S,3,24,0,27,False,False,0,0,1.0,2.0,2.0,True
13442,1110.0,es_4990,2019,CIV-PLS13 ,1F-3,S,0,0,0,0,False,False,0,0,3.0,0.0,3.0,True
13443,1111.0,es_4992,2019,ELE-PLS13 ,1F-5,S,15,27,0,42,False,False,0,0,5.0,0.0,5.0,True
13444,1112.0,es_5004,2019,ELE-PLS13 ,1F-3,S,11,19,0,30,False,False,0,0,3.0,0.0,3.0,True
13445,1113.0,es_5006,2019,ELE-PLS13 ,2F-2,S,5,18,0,23,False,False,42,0,2.0,0.0,2.0,True
13446,1114.0,es_5017,2019,ELE-PLS13 ,1F-2,S,0,0,0,0,False,False,0,0,2.0,0.0,2.0,True
13447,1115.0,es_4067,2019,ELE-PLS13 ,1F-3,S,11,19,0,30,False,False,0,0,3.0,0.0,3.0,True
13448,1116.0,es_5049,2019,CIV-PLS13 ,2F-2,S,0,0,0,0,False,False,32,0,2.0,0.0,2.0,True
13449,1117.0,es_5733,2019,CIV-PLS13 ,1F-3,S,9,17,0,26,False,False,0,0,3.0,0.0,3.0,True
13450,1118.0,es_5068,2019,MCT-PLS13 ,1F-1,N,12,21,0,33,False,False,0,0,1.0,0.0,1.0,False
13451,1119.0,es_4681,2019,CIV-PLS13 ,,N,0,0,0,0,False,False,0,0,0.0,0.0,0.0,False
13452,1120.0,es_5087,2019,MCT-PLS13 ,,N,1,0,0,1,False,False,0,0,0.0,0.0,0.0,False
13453,1121.0,es_5088,2019,ELE-PLS13 ,1F-5,S,12,33,0,45,False,False,0,0,5.0,0.0,5.0,True
13454,1122.0,es_5093,2019,MEC-PLS13 ,1F-3,S,6,0,0,6,False,False,0,0,3.0,0.0,3.0,True
13455,1123.0,es_359,2019,ELE-PLS13 ,,N,0,0,0,0,False,False,0,0,0.0,0.0,0.0,False
13456,1124.0,es_5117,2019,MEC-PLS13 ,1F-5,S,23,32,0,55,False,False,0,0,5.0,0.0,5.0,True
13457,1125.0,es_5123,2019,ECA-PLS13 ,,N,0,0,0,0,False,False,0,0,0.0,0.0,0.0,False
13458,1126.0,es_3324,2019,CIV-PLS13 ,2F-1,N,5,0,0,5,False,False,0,0,1.0,0.0,1.0,False
13459,1127.0,es_5138,2019,CIV-PLS13 ,1F-2,S,10,17,0,27,False,False,0,0,2.0,0.0,2.0,True
13460,1128.0,es_5790,2019,CIV-PLS13 ,1F-5,S,17,31,0,48,False,False,0,0,5.0,0.0,5.0,True
13461,1129.0,es_4387,2019,ELE-PLS13 ,2F-2,S,0,0,0,0,False,False,0,0,2.0,0.0,2.0,True
13462,1130.0,es_1604,2019,MEC-PLS13 ,1F-5,S,19,19,0,38,False,False,0,0,5.0,0.0,5.0,True
13463,1131.0,es_4389,2019,MEC-PLS13 ,,N,12,19,0,31,False,False,37,0,0.0,0.0,0.0,False
13464,1132.0,es_5168,2019,ELE-PLS13 ,,N,0,0,0,0,False,False,0,0,0.0,0.0,0.0,False
13465,1133.0,es_4391,2019,CIV-PLS13 ,,N,0,0,0,0,False,False,0,0,0.0,0.0,0.0,False
13466,1134.0,es_5809,2019,IND-PLS13 ,2F-4,S,15,25,0,40,False,False,0,0,4.0,0.0,4.0,True
13467,1135.0,es_4720,2019,ELE-PLS13 ,1F-2,S,5,22,0,27,False,False,0,0,2.0,0.0,2.0,True
13468,1136.0,es_4396,2019,MCT-PLS13 ,2F-3,S,11,19,0,30,False,False,0,0,3.0,0.0,3.0,True
13469,1137.0,es_5177,2019,CGF-PLS13 ,2F-4,S,15,22,0,37,False,False,0,0,4.0,0.0,4.0,True
13470,1138.0,es_5184,2019,MEC-PLS13 ,,N,0,0,0,0,False,False,0,0,0.0,0.0,0.0,False
13471,1139.0,es_4114,2019,ECA-PLS13 ,,N,4,0,0,4,False,False,0,0,0.0,0.0,0.0,False
13472,1140.0,es_4731,2019,CIV-PLS13 ,,N,10,23,0,33,False,False,0,0,0.0,0.0,0.0,False
13473,1141.0,es_4115,2019,MEC-PLS13 ,1F-3,S,14,27,0,41,False,False,0,0,3.0,0.0,3.0,True
13474,1142.0,es_5852,2019,ELE-PLS13 ,,N,10,19,0,29,False,False,0,0,0.0,0.0,0.0,False
13475,1143.0,es_5858,2019,ELE-PLS13 ,,N,10,32,0,42,False,False,0,0,0.0,0.0,0.0,False
13476,1144.0,es_4407,2019,ELE-PLS13 ,,N,0,0,0,0,False,False,0,0,0.0,0.0,0.0,False
13477,1145.0,es_375,2019,MEC-PLS13 ,,N,0,0,0,0,False,False,0,0,0.0,0.0,0.0,False
13478,1146.0,es_5209,2019,CGF-PLS13 ,,N,0,18,0,18,False,False,26,0,0.0,0.0,0.0,False
13479,1147.0,es_5214,2019,ELE-PLS13 ,,N,6,18,0,24,False,False,38,0,0.0,0.0,0.0,False
13480,1148.0,es_5882,2019,CIV-PLS13 ,,N,10,1,0,11,False,False,0,0,0.0,0.0,0.0,False
13481,1149.0,es_4121,2019,CIV-PLS13 ,1F-5,S,12,28,0,40,False,False,0,0,5.0,0.0,5.0,True
13482,1150.0,es_5893,2019,ELE-PLS13 ,,N,4,5,0,9,False,False,0,0,0.0,0.0,0.0,False
13483,1151.0,es_5228,2019,ELE-PLS13 ,2F-4,S,12,33,0,45,False,False,0,0,4.0,0.0,4.0,True
13484,1152.0,es_8837,2019,CIV-PLS13 ,,N,6,15,0,21,False,False,16,0,0.0,0.0,0.0,False
